STNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
California,2010 Census,0-4,2531333,1294056,1237277,935486,894161,87069,84389,26935,25670,145687,138153,6939,6814,91940,88090,1017949,972890,118287,115038,45821,43670,198752,188437,15308,15073,604994,576433,334551,317133,66815,65171,4854,4743,132330,125616,4178,4177,62266,59593,390396,370382,88053,85847,12772,12425,172348,163641,9571,9456,689062,660844,600935,577028,20254,19218,22081,20927,13357,12537,2761,2637,29674,28497,627553,602508,30234,29191,33049,31245,26404,24796,5737,5617
California,2010 Census,10-14,2590930,1325915,1265015,971405,926963,94529,90826,26910,25502,151429,142955,7443,6998,74199,71771,1037451,990870,118854,114997,45427,43536,191400,181207,14559,13793,661775,627187,379848,359562,78957,75473,5674,5215,140527,132227,4980,4609,51789,50101,425919,404061,96889,93282,14305,13815,171264,161580,9892,9282,664140,637828,591557,567401,15572,15353,21236,20287,10902,10728,2463,2389,22410,21670,611532,586809,21965,21715,31122,29721,20136,19627,4667,4511
California,2010 Census,15-19,2823940,1455082,1368858,1064946,996180,111220,105601,29871,28044,171190,162230,8597,8150,69258,68653,1125960,1056655,132694,127789,49223,47435,207710,197646,15632,15273,758844,712416,442419,411712,95124,89728,6460,6105,160197,151116,5889,5634,48755,48121,485164,453908,111224,106297,16049,15801,188639,178454,10870,10675,696238,656442,622527,584468,16096,15873,23411,21939,10993,11114,2708,2516,20503,20532,640796,602747,21470,21492,33174,31634,19071,19192,4762,4598
California,2010 Census,20-24,2765949,1440785,1325164,1059400,955736,104387,99303,28756,25659,184351,178838,8709,8316,55182,57312,1107627,1005785,120055,116669,45216,42436,213373,208797,14820,14738,799757,749613,485142,444532,89883,84344,6319,5921,174097,168472,6233,5898,38083,40446,518226,479669,101116,96973,14258,14516,196689,192050,10599,10634,641028,575551,574258,511204,14504,14959,22437,19738,10254,10366,2476,2418,17099,16866,589401,526116,18939,19696,30958,27920,16684,16747,4221,4104
California,2010 Census,25-29,2744409,1408698,1335711,1046263,962048,91560,89308,27656,24545,186877,200728,8162,7958,48180,51124,1088086,1006585,104579,103799,43059,40667,211819,227221,13769,13917,797218,777133,497823,464220,78153,75053,5770,5577,177227,191309,5865,5720,32380,35254,525645,494770,87149,85218,13079,13682,196408,211935,9884,10088,611480,558578,548440,497828,13407,14255,21886,18968,9650,9419,2297,2238,15800,15870,562441,511815,17430,18581,29980,26985,15411,15286,3885,3829
California,2010 Census,30-34,2573468,1304347,1269121,965754,906068,84195,83673,24714,22473,181809,206611,7125,7149,40750,43147,1001095,943231,94856,95577,38701,37033,202399,228665,11804,12192,736831,732189,454281,423833,72578,71080,5310,5149,172877,197750,5047,5131,26738,29246,477162,448790,79703,79293,11935,12469,188485,214729,8373,8832,567516,536932,511473,482235,11617,12593,19404,17324,8932,8861,2078,2018,14012,13901,523933,494441,15153,16284,26766,24564,13914,13936,3431,3360
California,2010 Census,35-39,2573579,1291370,1282209,953260,911953,80417,82133,23250,21764,194397,223343,6553,6619,33493,36397,982088,943166,88546,91507,35409,34984,211255,241728,10408,10798,754475,757323,462831,434681,71654,71473,5161,5196,186757,215387,4819,4928,23253,25658,482556,456378,77439,78272,11484,12431,200217,230052,7771,8142,536895,524886,490429,477272,8763,10660,18089,16568,7640,7956,1734,1691,10240,10739,499532,486788,11107,13235,23925,22553,11038,11676,2637,2656
California,2010 Census,40-44,2609131,1313323,1295808,985281,938018,87917,88779,22633,21151,180559,208207,6313,6768,30620,32885,1011469,965996,94869,96764,34971,34318,195324,224110,9988,10661,810801,817905,524777,502087,80133,80023,5715,5863,173756,201187,4812,5202,21608,23543,542902,521811,85107,85867,12656,13549,185712,214053,7707,8284,502522,477903,460504,435931,7784,8756,16918,15288,6803,7020,1501,1566,9012,9342,468567,444185,9762,10897,22315,20769,9612,10057,2281,2377
California,2010 Census,45-49,2689819,1341984,1347835,1012595,987640,94823,96034,21825,21150,177053,204645,6204,6644,29484,31722,1037542,1014298,100749,103092,34453,34965,191191,219476,9897,10657,913495,925824,620640,602854,88243,88698,6801,6945,171245,198487,4930,5351,21636,23489,638570,622244,92489,93922,14637,15872,183040,210718,7959,8622,428489,422011,391955,384786,6580,7336,15024,14205,5808,6158,1274,1293,7848,8233,398972,392054,8260,9170,19816,19093,8151,8758,1938,2035
California,2010 Census,5-9,2505839,1279563,1226276,933027,892781,85716,82774,25579,25117,148463,142067,6908,6548,79870,76989,1004455,961616,111934,108488,43399,42277,193891,185607,14192,13464,620933,591748,350379,331646,69009,66471,5052,4961,136874,131043,4468,4192,55151,53435,399701,379364,87495,84777,12869,12784,171765,164469,9338,8786,658630,634528,582648,561135,16707,16303,20527,20156,11589,11024,2440,2356,24719,23554,604754,582252,24439,23711,30530,29493,22126,21138,4854,4678
