STNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Florida,2010 Census,0-4,1073506,547985,525521,379871,363078,123875,119723,3197,3094,14287,13807,736,714,26019,25105,403753,386209,141399,136618,6742,6479,22211,21438,1855,1775,388565,372658,239334,228039,113655,110187,1290,1317,13324,12931,363,347,20599,19837,258218,246288,127545,123533,3676,3553,19879,19272,1204,1138,159420,152863,140537,135039,10220,9536,1907,1777,963,876,373,367,5420,5268,145535,139921,13854,13085,3066,2926,2332,2166,651,637
Florida,2010 Census,10-14,1130847,578689,552158,415923,393606,125276,121307,3283,3158,14546,14446,654,645,19007,18996,433046,410707,137105,133133,6876,6755,20537,20458,1598,1597,422629,403542,275332,259784,116350,112914,1549,1469,13789,13761,350,355,15259,15259,289004,273433,125765,122381,4137,4084,18883,18863,1106,1115,156060,148616,140591,133822,8926,8393,1734,1689,757,685,304,290,3748,3737,144042,137274,11340,10752,2739,2671,1654,1595,492,482
Florida,2010 Census,15-19,1228382,631287,597095,453240,425528,141385,136419,3844,3299,15679,14781,847,752,16292,16316,467457,439727,150775,145996,7591,7154,21047,20209,1969,1743,464905,442932,302974,286082,131944,127823,1811,1658,14840,13979,448,426,12888,12964,314090,297261,139250,135249,4593,4526,19385,18610,1355,1219,166382,154163,150266,139446,9441,8596,2033,1641,839,802,399,326,3404,3352,153367,142466,11525,10747,2998,2628,1662,1599,614,524
Florida,2010 Census,20-24,1228758,627063,601695,463662,435205,128420,131656,4189,3149,17242,17448,1037,833,12513,13404,474211,446485,134875,139077,7581,6571,21818,22265,2057,1906,455677,448300,308127,296358,119394,122748,1585,1555,16419,16588,558,494,9594,10557,316069,305088,124090,128367,4001,4096,20335,20734,1374,1392,171386,153395,155535,138847,9026,8908,2604,1594,823,860,479,339,2919,2847,158142,141397,10785,10710,3580,2475,1483,1531,683,514
Florida,2010 Census,25-29,1179227,594897,584330,448995,428016,112600,120829,4054,3083,17488,20125,1047,901,10713,11376,457929,437393,117993,126770,7243,6266,21345,24395,1934,1922,429108,431767,297838,288925,104550,112671,1553,1497,16612,19378,561,535,7994,8761,304277,295952,108286,116954,3795,3826,19953,23094,1308,1390,165789,152563,151157,139091,8050,8158,2501,1586,876,747,486,366,2719,2615,153652,141441,9707,9816,3448,2440,1392,1301,626,532
Florida,2010 Census,30-34,1110318,555239,555079,422895,409409,100644,109964,3638,3018,17929,21669,898,768,9235,10251,430512,417771,105178,115186,6503,5989,21260,25533,1790,1788,392908,397623,273872,265142,93029,102012,1385,1420,17220,20900,501,463,6901,7686,279388,271193,96078,105542,3466,3595,20090,24251,1230,1319,162331,157456,149023,144267,7615,7952,2253,1598,709,769,397,305,2334,2565,151124,146578,9100,9644,3037,2394,1170,1282,560,469
Florida,2010 Census,35-39,1178467,585141,593326,455454,447379,97358,109460,3545,3104,19555,23348,782,712,8447,9323,462227,454855,101303,114000,6369,6135,22669,26881,1666,1587,418063,427054,300335,293271,90431,101979,1544,1573,18918,22704,450,447,6385,7080,305237,298709,93078,105047,3644,3874,21671,25824,1197,1197,167078,166272,155119,154108,6927,7481,2001,1531,637,644,332,265,2062,2243,156990,156146,8225,8953,2725,2261,998,1057,469,390
Florida,2010 Census,40-44,1252787,623330,629457,495971,488652,97593,106916,3468,3126,18143,21645,720,686,7435,8432,501802,495238,101003,110949,6265,6166,20674,24692,1578,1611,461223,467762,345136,337988,90707,100005,1779,1796,17579,21012,411,433,5611,6528,349339,342866,92960,102787,3965,4238,19778,23689,1131,1252,162107,161695,150835,150664,6886,6911,1689,1330,564,633,309,253,1824,1904,152463,152372,8043,8162,2300,1928,896,1003,447,359
Florida,2010 Census,45-49,1401202,691335,709867,561548,564668,102109,112929,3501,3394,16139,19755,588,701,7450,8420,567423,571126,105235,116758,6722,7059,18578,22461,1406,1627,534556,547275,414923,412567,95576,106213,2141,2230,15648,19160,390,471,5878,6634,419370,417422,97741,108922,4809,5281,17767,21504,1110,1276,156779,162592,146625,152101,6533,6716,1360,1164,491,595,198,230,1572,1786,148053,153704,7494,7836,1913,1778,811,957,296,351
Florida,2010 Census,5-9,1080255,551053,529202,390541,371244,120715,117796,3188,3064,14639,15496,676,632,21294,20970,409909,390342,134376,131111,6520,6407,21484,22277,1636,1583,398199,383006,253742,240649,111850,109205,1384,1339,13819,14723,365,329,17039,16761,269186,255854,122744,119818,3692,3661,19582,20437,1108,1101,152854,146196,136799,130595,8865,8591,1804,1725,820,773,311,303,4255,4209,140723,134488,11632,11293,2828,2746,1902,1840,528,482
