STNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Georgia,2010 Census,0-4,686785,350673,336112,202842,192241,118504,115654,2379,2213,11669,11104,562,539,14717,14361,216043,205199,128932,125963,4748,4502,15783,14950,1069,1035,295892,284482,157055,149306,114042,111263,665,616,11284,10739,239,199,12607,12359,168433,160479,123140,120332,2258,2142,14935,14169,607,580,54781,51630,45787,42935,4462,4391,1714,1597,385,365,323,340,2110,2002,47610,44720,5792,5631,2490,2360,848,781,462,455
Georgia,2010 Census,10-14,689684,352577,337107,205508,194118,123395,120104,2040,1848,11063,10732,417,397,10154,9908,214469,202793,130181,126897,4364,4047,13859,13398,796,760,313982,301015,173421,164205,120023,116799,742,738,10725,10430,216,207,8855,8636,181253,171770,126028,122809,2509,2423,13233,12814,521,515,38595,36092,32087,29913,3372,3305,1298,1110,338,302,201,190,1299,1272,33216,31023,4153,4088,1855,1624,626,584,275,245
Georgia,2010 Census,15-19,709999,362934,347065,207601,194265,133068,131900,2118,1743,11625,10412,485,380,8037,8365,214415,201315,138029,137252,4451,4076,13922,12792,891,794,325833,315361,176875,168407,129660,128616,830,768,11336,10131,255,195,6877,7244,182682,174504,133948,133282,2632,2618,13428,12281,588,541,37101,31704,30726,25858,3408,3284,1288,975,289,281,230,185,1160,1121,31733,26811,4081,3970,1819,1458,494,511,303,253
Georgia,2010 Census,20-24,680080,344477,335603,210474,195328,112452,119814,2394,1703,12215,11457,700,486,6242,6815,215682,200921,115784,123926,4461,3748,14276,13682,1053,853,298265,303257,171754,168869,108585,116366,704,780,11820,11182,328,274,5074,5786,175963,173589,111295,119875,2209,2344,13650,13180,603,578,46212,32346,38720,26459,3867,3448,1690,923,395,275,372,212,1168,1029,39719,27332,4489,4051,2252,1404,626,502,450,275
Georgia,2010 Census,25-29,673935,333831,340104,210980,200448,101396,116518,2516,1964,13040,14555,666,510,5233,6109,215298,205370,103966,120009,4512,4080,14768,16561,976,871,282373,301522,167271,168363,97559,112962,655,704,12634,14280,276,248,3978,4965,170494,172311,99512,115782,2002,2289,14162,16065,490,529,51458,38582,43709,32085,3837,3556,1861,1260,406,275,390,262,1255,1144,44804,33059,4454,4227,2510,1791,606,496,486,342
Georgia,2010 Census,30-34,661625,324379,337246,205283,196521,98223,117233,2420,1896,13322,15702,605,479,4526,5415,208937,200788,100433,120213,4230,3984,14819,17534,883,780,275847,298425,163803,163867,94752,113827,693,715,12949,15383,258,229,3392,4404,166469,167282,96348,116222,1948,2312,14249,17026,466,478,48532,38821,41480,32654,3471,3406,1727,1181,373,319,347,250,1134,1011,42468,33506,4085,3991,2282,1672,570,508,417,302
Georgia,2010 Census,35-39,698059,340454,357605,218606,212422,99527,120899,2156,1828,15630,17138,439,396,4096,4922,221839,216195,101363,123529,3998,3877,17012,18793,671,694,299838,324280,183549,184193,96745,118079,700,766,15325,16873,224,237,3295,4132,186100,187299,98183,120243,2106,2435,16585,18370,397,482,40616,33325,35057,28229,2782,2820,1456,1062,305,265,215,159,801,790,35739,28896,3180,3286,1892,1442,427,423,274,212
Georgia,2010 Census,40-44,699481,344098,355383,224623,217387,100153,117800,1913,1740,13528,14266,367,306,3514,3884,227405,220281,101648,119817,3720,3606,14548,15408,615,590,312304,329594,197252,195640,97882,115481,830,928,13298,14047,198,186,2844,3312,199455,198057,99038,117155,2280,2518,14205,15090,404,429,31794,25789,27371,21747,2271,2319,1083,812,230,219,169,120,670,572,27950,22224,2610,2662,1440,1088,343,318,211,161
Georgia,2010 Census,45-49,722661,353137,369524,235494,232199,101293,119565,1635,1486,11415,12376,271,229,3029,3669,237842,234986,102464,121292,3357,3515,12258,13316,487,468,330089,350217,215509,215933,99606,117721,946,997,11238,12215,166,147,2624,3204,217511,218332,100564,119183,2448,2791,12010,13070,352,352,23048,19307,19985,16266,1687,1844,689,489,177,161,105,82,405,465,20331,16654,1900,2109,909,724,248,246,135,116
Georgia,2010 Census,5-9,695161,353909,341252,208831,198308,118484,116304,2183,2119,12064,12256,484,509,11863,11756,219424,208775,126708,124426,4355,4320,15324,15521,899,969,306278,295767,168879,160371,114520,112491,704,642,11705,11919,234,229,10236,10115,178050,169405,121759,119647,2239,2210,14602,14803,557,573,47631,45485,39952,37937,3964,3813,1479,1477,359,337,250,280,1627,1641,41374,39370,4949,4779,2116,2110,722,718,342,396
