STNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
New York,2010 Census,0-4,1155822,590879,564943,395281,376278,115134,112146,7601,7378,43255,40698,884,878,28724,27565,420828,400877,133112,129398,12778,12269,53394,50401,1656,1620,445584,426027,290746,276555,89978,87902,2044,2044,41538,39057,215,210,21063,20259,309668,294771,102179,99676,4975,4770,50332,47524,692,647,145295,138916,104535,99723,25156,24244,5557,5334,1717,1641,669,668,7661,7306,111160,106106,30933,29722,7803,7499,3062,2877,964,973
New York,2010 Census,10-14,1211456,619243,592213,422919,400905,124566,121750,7380,6997,42740,41515,942,828,20696,20218,440548,418023,137657,134814,12333,11885,49373,47859,1706,1535,487906,466187,328123,310087,101086,99090,2213,2077,41348,40088,245,247,14891,14598,340915,322549,109894,107949,5107,4996,47096,45552,724,688,131337,126026,94796,90818,23480,22660,5167,4920,1392,1427,697,581,5805,5620,99633,95474,27763,26865,7226,6889,2277,2307,982,847
New York,2010 Census,15-19,1366278,699548,666730,473582,447345,147332,143219,8605,7907,49670,47309,1096,1117,19263,19833,489456,463652,159436,155714,13914,13308,55802,53632,1942,2026,549099,525935,364584,346756,120463,116934,2457,2400,48033,45743,295,297,13267,13805,375481,358085,128082,124934,5609,5652,53341,51156,825,888,150449,140795,108998,100589,26869,26285,6148,5507,1637,1566,801,820,5996,6028,113975,105567,31354,30780,8305,7656,2461,2476,1117,1138
New York,2010 Census,20-24,1410935,712002,698933,488050,469785,136295,140076,9128,7545,60484,62119,1289,1228,16756,18180,501735,484640,146013,151134,14054,12607,66292,68339,2193,2213,553960,556604,369688,367088,112000,114169,2192,2164,58704,60443,386,427,10990,12313,378469,377025,117626,120827,4935,5106,63695,65843,995,1115,158042,142329,118362,102697,24295,25907,6936,5381,1780,1676,903,801,5766,5867,123266,107615,28387,30307,9119,7501,2597,2496,1198,1098
New York,2010 Census,25-29,1380177,680203,699974,477291,471216,115783,130694,8499,7455,62925,72257,1175,1087,14530,17265,489195,485215,123913,140802,12854,12489,68031,78474,2066,2080,526661,556604,359131,365759,94758,106422,1847,1922,61276,70715,363,354,9286,11432,366482,374826,99236,112152,4137,4761,65677,76113,994,1070,153542,143370,118160,105457,21025,24272,6652,5533,1649,1542,812,733,5244,5833,122713,110389,24677,28650,8717,7728,2354,2361,1072,1010
New York,2010 Census,30-34,1279160,629759,649401,442683,432023,105209,124277,7713,7052,60443,69616,1043,1049,12668,15384,452910,444257,112200,133460,11796,11744,64929,74944,1837,2039,486393,511132,331246,329362,86434,101674,1652,1791,58941,68148,341,362,7779,9795,337246,336877,90014,106685,3747,4389,62805,72694,910,1066,143366,138269,111437,102661,18775,22603,6061,5261,1502,1468,702,687,4889,5589,115664,107380,22186,26775,8049,7355,2124,2250,927,973
New York,2010 Census,35-39,1254124,613775,640349,438014,433122,99274,121486,6989,6756,57577,65406,837,966,11084,12613,446590,442647,105397,128983,10776,10910,61511,69875,1631,1851,484182,512086,336051,336454,82838,101135,1699,1877,56279,64135,261,335,7054,8150,341215,342311,86181,105305,3797,4260,59703,68035,821,983,129593,128263,101963,96668,16436,20351,5290,4879,1298,1271,576,631,4030,4463,105375,100336,19216,23678,6979,6650,1808,1840,810,868
New York,2010 Census,40-44,1355893,663333,692560,482418,481330,109257,131915,6834,6630,53437,59736,859,955,10528,11994,490398,490096,115077,139151,10803,11092,57006,63655,1609,1842,541627,567840,387587,387351,92826,111706,1944,2182,52224,58543,300,333,6746,7725,392372,392676,95986,115756,4350,4921,55345,61941,818,966,121706,124720,94831,93979,16431,20209,4890,4448,1213,1193,559,622,3782,4269,98026,97420,19091,23395,6453,6171,1661,1714,791,876
New York,2010 Census,45-49,1458763,709523,749240,523235,532400,115945,139339,6268,6372,53467,58721,743,909,9865,11499,530379,540479,121405,146505,10267,10913,56843,62301,1455,1812,600818,631861,439074,444487,100290,119733,2268,2345,52444,57630,273,300,6469,7366,443392,449247,103285,123786,4858,5259,55434,60699,793,961,108705,117379,84161,87913,15655,19606,4000,4027,1023,1091,470,609,3396,4133,86987,91232,18120,22719,5409,5654,1409,1602,662,851
New York,2010 Census,5-9,1163955,594362,569593,403832,384212,116029,112670,7225,7316,42944,41728,907,835,23425,22832,424237,404176,130702,127068,11959,11955,51004,49468,1619,1494,460644,440849,306653,291166,93001,90382,2093,2067,41439,40345,248,223,17210,16666,321729,305853,103031,100168,4851,4788,48480,47076,697,626,133718,128744,97179,93046,23028,22288,5132,5249,1505,1383,659,612,6215,6166,102508,98323,27671,26900,7108,7167,2524,2392,922,868
New York,2010 Census,50-54,1419928,687779,732149,516561,532678,105529,129141,5057,5405,51375,54303,635,694,8622,9928,522647,539421,110335,135316,8624,9591,54348,57391,1316,1530,598580,630930,448300,456883,91846,111886,1966,2116,50529,53389,232,248,5707,6408,451985,460834,94499,115387,4377,4888,53134,56015,722,849,89199,101219,68261,75795,13683,17255,3091,3289,846,914,403,446,2915,3520,70662,78587,15836,19929,4247,4703,1214,1376,594,681
New York,2010 Census,55-59,1237408,591847,645561,456478,482491,82709,105322,3743,4210,41954,45266,435,478,6528,7794,461062,487847,86419,110165,6499,7596,44105,47541,958,1092,523234,562709,403929,419707,71820,91555,1555,1741,41349,44488,170,158,4411,5060,406748,422805,73926,94289,3503,4105,43270,46439,547,614,68613,82852,52549,62784,10889,13767,2188,2469,605,778,265,320,2117,2734,54314,65042,12493,15876,2996,3491,835,1102,411,478
New York,2010 Census,60-64,1066260,500359,565901,393952,430837,64955,88143,2770,3197,33400,37242,347,399,4935,6083,397401,434975,67707,91860,4919,6003,35043,39039,733,864,447342,498336,352963,378798,56667,77225,1218,1425,32955,36697,118,158,3421,4033,355175,381245,58257,79391,2829,3438,34407,38231,410,502,53017,67565,40989,52039,8288,10918,1552,1772,445,545,229,241,1514,2050,42226,53730,9450,12469,2090,2565,636,808,323,362
New York,2010 Census,65-69,773211,352255,420956,278828,321567,46538,68306,1734,2196,21749,24401,198,276,3208,4210,281039,324453,48259,70839,3160,4091,22844,25650,456,600,315793,372120,250118,283533,41021,60647,841,1013,21474,24018,85,114,2254,2795,251567,285278,42027,62115,1916,2369,22443,25070,277,348,36462,48836,28710,38034,5517,7659,893,1183,275,383,113,162,954,1415,29472,39175,6232,8724,1244,1722,401,580,179,252
New York,2010 Census,70-74,587391,258616,328775,205051,253286,33313,51780,1249,1729,16594,18756,141,219,2268,3005,206641,255391,34550,53637,2212,3067,17406,19631,313,437,232444,290594,184580,223430,29292,45871,596,784,16380,18472,53,76,1543,1961,185583,224676,29998,46934,1303,1731,17077,19208,181,233,26172,38181,20471,29856,4021,5909,653,945,214,284,88,143,725,1044,21058,30715,4552,6703,909,1336,329,423,132,204
New York,2010 Census,75-79,474807,200049,274758,165458,220299,21476,37890,728,1160,10827,13113,88,155,1472,2141,166520,221859,22226,39161,1344,2044,11372,13736,209,350,182733,246466,151624,197957,18970,33580,348,536,10696,12910,33,56,1062,1427,152354,198918,19426,34328,812,1144,11163,13456,132,201,17316,28292,13834,22342,2506,4310,380,624,131,203,55,99,410,714,14166,22941,2800,4833,532,900,209,280,77,149
New York,2010 Census,80-84,391660,150993,240667,129941,201025,13637,28360,443,792,6021,8799,64,97,887,1594,130609,202214,14088,29319,823,1444,6320,9229,138,230,140438,220903,121502,185322,12065,25383,234,392,5956,8675,30,45,651,1086,121974,186087,12338,25953,531,864,6219,9048,91,141,10555,19764,8439,15703,1572,2977,209,400,65,124,34,52,236,508,8635,16127,1750,3366,292,580,101,181,47,89
New York,2010 Census,85_plus,390874,122622,268252,106906,230382,10240,28312,329,654,4463,7245,41,106,643,1553,107384,231528,10579,29241,575,1348,4682,7611,114,235,115521,251038,101286,216770,9170,25585,161,341,4408,7151,19,67,477,1124,101628,217564,9391,26205,350,885,4603,7454,72,155,7101,17214,5620,13612,1070,2727,168,313,55,94,22,39,166,429,5756,13964,1188,3036,225,463,79,157,42,80
New York,2010 Census,Total,19378102,9377147,10000955,6800480,7101181,1563221,1814826,92295,90751,713325,768230,11724,12276,196102,213691,6959579,7271750,1679075,1946567,149690,154356,780305,838776,21951,23850,7692959,8268221,5527185,5817465,1304525,1520879,27328,29217,695973,750647,3667,4010,134281,146003,5633983,5931627,1375376,1601840,61987,68326,754224,811554,10701,12053,1684188,1732734,1273295,1283716,258696,293947,64967,61534,17352,17583,8057,8266,61821,67688,1325596,1340123,303699,344727,87703,86030,26081,27222,11250,11797
New York,2019 Estimate,0-4,1127001,576910,550091,379220,360971,107833,104958,5119,4795,49905,46012,1199,1109,33634,32246,409224,389836,128886,125143,11088,10485,61835,57368,2085,1969,427584,406067,268777,254576,84646,82586,1406,1369,47953,44106,371,332,24431,23098,290777,275408,98772,95935,4727,4393,58226,53856,917,835,149326,144024,110443,106395,23187,22372,3713,3426,1952,1906,828,777,9203,9148,118447,114428,30114,29208,6361,6092,3609,3512,1168,1134
New York,2019 Estimate,10-14,1100705,563068,537637,375071,357183,107932,104802,7224,6846,45623,42623,809,847,26409,25336,398008,379112,125036,121471,12110,11513,54579,51094,1758,1697,426298,406778,276599,262948,84317,82159,1962,1839,44054,41147,201,221,19165,18464,293331,279029,95801,93452,4733,4521,51925,48569,813,762,136770,130859,98472,94235,23615,22643,5262,5007,1569,1476,608,626,7244,6872,104677,100083,29235,28019,7377,6992,2654,2525,945,935
New York,2019 Estimate,15-19,1175399,597739,577660,405661,388780,112125,110184,7197,7046,48591,47951,920,835,23245,22864,425728,408447,127297,124937,11857,11680,56299,55583,1766,1752,462598,447954,307294,294593,89267,88128,2053,2045,47122,46502,254,242,16608,16444,321640,308740,99208,97920,4767,4785,53936,53180,803,850,135141,129706,98367,94187,22858,22056,5144,5001,1469,1449,666,593,6637,6420,104088,99707,28089,27017,7090,6895,2363,2403,963,902
New York,2019 Estimate,20-24,1269847,634217,635630,424807,420033,122062,123922,7570,7289,57354,61422,977,955,21447,22009,443265,438936,135695,138109,12282,12096,64470,68653,1897,1903,495598,498794,323694,320196,98411,100559,2247,2137,55859,59820,314,361,15073,15721,336547,333640,107233,109890,4963,5005,62104,66183,957,1037,138619,136836,101113,99837,23651,23363,5323,5152,1495,1602,663,594,6374,6288,106718,105296,28462,28219,7319,7091,2366,2470,940,866
New York,2019 Estimate,25-29,1465003,733350,731653,483003,472338,148153,147439,8609,7872,71553,80586,1166,1209,20866,22209,500525,490802,160814,161325,13794,13327,78589,88236,2310,2349,572986,579757,365808,362090,120647,120696,2352,2447,69798,78889,353,409,14028,15226,377331,374583,128323,129207,5160,5541,75957,85559,1175,1221,160364,151896,117195,110248,27506,26743,6257,5425,1755,1697,813,800,6838,6983,123194,116219,32491,32118,8634,7786,2632,2677,1135,1128
New York,2019 Estimate,30-34,1402648,703593,699055,477028,459202,127887,131653,8300,7140,72346,81553,1288,1192,16744,18315,490754,474100,137431,142929,12837,11777,78532,88043,2300,2310,548769,556623,360448,355183,104455,106864,1972,1960,70711,79824,403,413,10780,12379,369007,365024,109661,113581,4312,4572,76166,85511,1150,1238,154824,142432,116580,104019,23432,24789,6328,5180,1635,1729,885,779,5964,5936,121747,109076,27770,29348,8525,7205,2366,2532,1150,1072
New York,2019 Estimate,35-39,1271005,629991,641014,436410,422845,107228,119817,7496,6924,64108,74905,1277,1007,13472,15516,447232,435073,115228,129461,11327,11134,68805,80399,2168,2037,486517,504973,326022,322520,87318,96772,1701,1731,62708,73444,357,315,8411,10191,332483,330288,91606,102283,3675,4056,66767,78265,986,1087,143474,136041,110388,100325,19910,23045,5795,5193,1400,1461,920,692,5061,5325,114749,104785,23622,27178,7652,7078,2038,2134,1182,950
New York,2019 Estimate,40-44,1158956,569181,589775,395198,387715,96855,113054,6847,6372,58030,68216,937,934,11314,13484,404174,398107,103731,121712,10172,10263,61881,72766,1654,1807,440449,462968,295686,293574,79440,92066,1517,1633,56664,66898,277,327,6865,8470,300802,299796,83005,96796,3231,3755,60003,70853,741,936,128732,126807,99512,94141,17415,20988,5330,4739,1366,1318,660,607,4449,5014,103372,98311,20726,24916,6941,6508,1878,1913,913,871
New York,2019 Estimate,45-49,1196751,583079,613672,412557,412714,95726,115570,6656,6461,56935,66034,767,930,10438,11963,420462,421534,102004,123443,9993,10048,60611,70108,1448,1733,463631,492677,319206,322209,80210,95929,1712,1811,55712,64886,259,341,6532,7501,323785,327333,83558,100320,3573,3843,58963,68420,747,925,119448,120995,93351,90505,15516,19641,4944,4650,1223,1148,508,589,3906,4462,96677,94201,18446,23123,6420,6205,1648,1688,701,808
New York,2019 Estimate,5-9,1117891,571442,546449,376098,358640,107804,104811,5580,5615,48593,45499,900,785,32467,31099,404724,386170,128451,124754,11398,11216,59881,56140,1874,1651,424436,404216,268389,254427,83638,81455,1426,1495,47140,44123,302,270,23541,22446,289219,274396,97411,94724,4742,4694,56973,53362,937,814,147006,142233,107709,104213,24166,23356,4154,4120,1453,1376,598,515,8926,8653,115505,111774,31040,30030,6656,6522,2908,2778,937,837
New York,2019 Estimate,50-54,1275053,618183,656870,447097,455151,101304,123106,6212,6111,53079,60477,816,914,9675,11111,454200,463039,106985,130213,9627,9937,56410,64185,1561,1839,508622,539842,362422,367503,85972,103565,1860,2059,51956,59357,310,330,6102,7028,366522,372072,88982,107505,3960,4376,54846,62553,849,1009,109561,117028,84675,87648,15332,19541,4352,4052,1123,1120,506,584,3573,4083,87678,90967,18003,22708,5667,5561,1564,1632,712,830
New York,2019 Estimate,55-59,1348846,649259,699587,477956,495348,102781,126854,5625,5778,53252,59915,686,866,8959,10826,484446,503012,107956,133691,8896,9801,56385,63328,1456,1758,553145,591523,404294,415046,88349,108336,1979,2157,52309,58844,264,316,5950,6824,408241,419409,91242,112021,4148,4797,55104,61776,820,970,96114,108064,73662,80302,14432,18518,3646,3621,943,1071,422,550,3009,4002,76205,83603,16714,21670,4748,5004,1281,1552,636,788
New York,2019 Estimate,60-64,1248310,594863,653447,445439,473363,87266,111644,4467,4823,49499,53999,585,670,7607,8948,450867,479508,91627,117230,7275,8508,52252,56891,1193,1358,519291,563018,388228,406013,75392,95926,1725,1864,48701,53130,222,271,5023,5814,391512,409573,77716,99059,3678,4390,51148,55633,665,768,75572,90429,57211,67350,11874,15718,2742,2959,798,869,363,399,2584,3134,59355,69935,13911,18171,3597,4118,1104,1258,528,590
New York,2019 Estimate,65-69,1032146,481370,550776,369153,409862,64149,86822,3052,3644,39278,43352,399,435,5339,6661,372858,414393,67137,91001,5265,6488,41175,45390,798,951,426353,479516,327672,356253,54953,74729,1259,1476,38743,42676,160,152,3566,4230,329940,358779,56571,77030,2803,3400,40420,44415,444,505,55017,71260,41481,53609,9196,12093,1793,2168,535,676,239,283,1773,2431,42918,55614,10566,13971,2462,3088,755,975,354,446
New York,2019 Estimate,70-74,827776,373875,453901,294597,345285,45102,68516,2238,2727,27933,32174,270,309,3735,4890,297186,348680,47166,71569,3896,4958,29243,33617,555,672,333881,398727,264115,303010,38604,59490,938,1187,27584,31708,98,129,2542,3203,265735,304988,39789,61265,2149,2782,28704,32929,296,388,39994,55174,30482,42275,6498,9026,1300,1540,349,466,172,180,1193,1687,31451,43692,7377,10304,1747,2176,539,688,259,284
