state,over18,over65,total,olderPerc,youngerPerc
Alabama,3798031.0,826894.0,4887871.0,16.91726316017751,22.29682411831245
Alaska,588192.0,93336.0,781305.0,11.946166989843915,24.716723942634438
Arizona,5528989.0,1258250.0,7171646.0,17.544786789531997,22.904881250413084
Arkansas,2310645.0,511827.0,3013825.0,16.982638341642264,23.331812563768633
California,30567090.0,5669025.0,39557045.0,14.331265138738244,22.726558568770745
Colorado,4430329.0,808229.0,5695564.0,14.190499834608127,22.214393517481323
Connecticut,2837472.0,615121.0,3572665.0,17.21742732665951,20.5782797995334
Delaware,763555.0,181086.0,967171.0,18.723266102891834,21.052740415086888
DistrictofColumbia,574961.0,85303.0,702455.0,12.143553679595135,18.149774718665252
Florida,17070244.0,4358071.0,21299325.0,20.46107564441596,19.855469598214967
Georgia,8013724.0,1460409.0,10519475.0,13.88290765461204,23.82011459697371
Hawaii,1117077.0,260967.0,1420491.0,18.371605311121296,21.35979742215896
Idaho,1307236.0,278282.0,1754208.0,15.863683212025029,25.479988690052718
Illinois,9883814.0,1992961.0,12741080.0,15.642009939502774,22.425618550389764
Indiana,5123748.0,1055021.0,6691878.0,15.76569387547113,23.433332167741252
Iowa,2425378.0,539830.0,3156145.0,17.104093759950825,23.153784125887753
Kansas,2205544.0,462241.0,2911505.0,15.876359477314997,24.24728791466956
Kentucky,3459573.0,730626.0,4468402.0,16.350946042903033,22.576952566040386
Louisiana,3564062.0,718433.0,4659978.0,15.417089951926812,23.517621757012588
Maine,1088000.0,275999.0,1338404.0,20.621501430061475,18.709149105950072
Maryland,4053070.0,788826.0,5214287.0,15.128166132780953,22.26990957728257
Massachusetts,5535291.0,1139100.0,6902149.0,16.50355563173151,19.803368487119013
Michigan,7831247.0,1716604.0,9995915.0,17.17305519304636,21.655526282486395
Minnesota,4308564.0,889802.0,5611179.0,15.857665563689913,23.214639917920994
Mississippi,2280389.0,474475.0,2986530.0,15.887166711869629,23.64419577235119
Missouri,3972204.0,853754.0,5129507.0,16.64397767660713,22.56168087888368
Montana,832871.0,198902.0,1062305.0,18.723624571097755,21.597752058024767
Nebraska,1452427.0,303666.0,1929268.0,15.739959404292199,24.716161777420243
Nevada,2345395.0,476181.0,3034392.0,15.692797766405922,22.70626207820216
NewHampshire,1098288.0,245645.0,1356458.0,18.10929641758167,19.03265711138863
NewJersey,6954877.0,1438527.0,8908520.0,16.147766407888177,21.93005123185445
NewMexico,1777566.0,400527.0,2312950.0,17.31671674701139,23.147236213493592
NewYork,15474107.0,3213534.0,19542209.0,16.444067300682335,20.81700180363438
NorthCarolina,8082975.0,1689265.0,10383620.0,16.26855566748398,22.156482999185254
NorthDakota,581379.0,116637.0,760077.0,15.345418950974704,23.51051275068184
Ohio,9096117.0,1995022.0,11689442.0,17.066871113266142,22.18519070456913
Oklahoma,2986593.0,619553.0,3943079.0,15.712416616557771,24.257337983844604
Oregon,3317146.0,738691.0,4190713.0,17.626857291348752,20.84530723053571
Pennsylvania,10158149.0,2335630.0,12807060.0,18.237050501832584,20.683209104978037
PuertoRico,3116083.0,795947.0,3826688.0,20.799892753211132,18.56971354863527
RhodeIsland,852102.0,182254.0,1057315.0,17.23743633638036,19.408880040479893
SouthCarolina,3978182.0,899915.0,5084127.0,17.70048230502503,21.75289877691883
SouthDakota,664629.0,146854.0,882235.0,16.64567830566686,24.665310263138505
Tennessee,5263790.0,1109697.0,6770010.0,16.391364266817924,22.24841617663785
Texas,21303746.0,3602320.0,28701845.0,12.550830791539708,25.775691423321394
Utah,2228643.0,350478.0,3161105.0,11.087198938345926,29.49797618237926
Vermont,510326.0,121207.0,626299.0,19.35289693900198,18.517193864272496
Virginia,5454742.0,1100650.0,6981992.0,15.764125768118898,21.874129904474252
Washington,5872306.0,1164232.0,7535591.0,15.449776931895586,22.072389544496243
WestVirginia,1441672.0,359878.0,1805832.0,19.928653385253998,20.16577400334029
Wisconsin,4537465.0,985473.0,5813568.0,16.951259536312296,21.950427001111883
Wyoming,442962.0,95375.0,577737.0,16.508376648890412,23.328088732416308
