easingOrder,stayAtHome,mandatoryQuarantine,nonEssentialBusiness,largeGatherings,schoolClosure,restaurantLimit,barClosures,faceCoveringRequirement,PrimaryElectionPostponement,emergencyDeclaration,waiveTreatmentCost,freeVaccine,waiverOfPriorAuthorizationRequirements,prescriptionRefill,premiumPaymentGracePeriod,marketplaceSpecialEnrollmentPeriod,section1135Waiver,paidSickLeaves,expandsAccesstoTelehealthServices,id,lastSavedTimestamp,numSavedVersions,savedVersion,location.id
Paused,Lifted,No Action,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Closed for School Year,Reopened to Dine-in Service,Reopened,Required for General Public,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,No,Alabama_UnitedStates_Policy,2020-09-12T02:52:54Z,6,-1,Alabama_USA
Proceeding with Reopening,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen,Lifted,Closed for School Year,Reopened to Dine-in Service,Reopened,Required for Certain Employees,No,Yes,No Action,No Action,No Action,State Requires,Expired,No,Approved,No Action,Yes,Alaska_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Alaska_UnitedStates
New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,New Limit on Large Gatherings in Place,Closed for School Year,New Service Limits,Newly Closed,Required for Certain Employees; Allows Local Officials to Require for General Public,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,Enacted,Yes,Arizona_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Arizona_UnitedStates
Paused,No Action,Lifted,No Action,Lifted,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,No,Yes,No Action,No Action,No Action,No Action,COVID-19 Diagnosis/Impacts Only,No,Approved,No Action,Yes,Arkansas_UnitedStates_Policy,2020-09-12T02:52:54Z,4,-1,Arkansas_UnitedStates
New Restrictions Imposed,Statewide,No Action,New Business Closures or Limits,All Gatherings Prohibited,Recommended Closure for School Year,Newly Closed to Dine-in Service,Newly Closed,Required for General Public,No,Yes,No Action,No Action,No Action,State Requires,No Action,Active,Approved,Enacted,Yes,California_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,California_UnitedStates
New Restrictions Imposed,Lifted,No Action,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25 or Fewer,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,No,Yes,No Action,No Action,No Action,State Requires,No Action,Ended,Approved,Enacted,Yes,Colorado_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Colorado_UnitedStates
Proceeding with Reopening,Lifted,From Certain States (New),All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25 or Fewer,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Postponed,Yes,No Action,No Action,No Action,No Action,Expired,Ended,Approved,Enacted,Yes,Connecticut_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Connecticut_UnitedStates
New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,New Service Limits,Required for General Public,Postponed,Yes,No Action,No Action,For COVID-19 Testing and Treatment,State Requires,Expired,No,Approved,No Action,Yes,Delaware_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Delaware_UnitedStates
Proceeding with Reopening,Lifted,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,No,Yes,State Requires,State Requires,For COVID-19 Testing and Treatment,State Requires,No Action,Active,Approved,Enacted,Yes,District of Columbia_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,DistrictofColumbia_UnitedStates
New Restrictions Imposed,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Recommended Closure for School Year,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for Certain Employees,No,Yes,No Action,No Action,No Action,State Requires,No Action,No,Approved,No Action,No,Florida_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Florida_UnitedStates
