id,annualHouseholdIncome,birthYear2020,coronavirusConcern,coronavirusEmployment,coronavirusIntent_Mask,coronavirusIntent_SixFeet,coronavirusIntent_StayHome,coronavirusIntent_WashHands,coronavirusLocalCommunity,coronavirusSupportSystem,coronavirusSymptoms,ratioOfAdultHospitalization,coronavirusWhenShouldReopen,education,ethnicity,gender,hasCoronavirusBelief,politicalBelief,politicalParty,religion,religiosity,trumpApproval,zipcodePrefix,startTime,coronaSimilarFlu,coronaOnlyElderly,youngInvulnerable,elderlyMoreRisk,coronaAllHospitalize,coronaKillsMost,ethnicitySpreadsCovid,allSpreadCovid,nonNativesSpreadCovid,asymptomaticSpread,onlySickSpread,infectFromAnimal,location.id
0007b4a0940ec892c58c0d875a305462,35000,1996,10,now-full,100,100,100,100,1,fam-friend,headache,one-in-1k,3-mo,postgrad,black,female,0,5.2,0,something-else,7.3,0,300,2020-05-25T18:24:24Z,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Georgia_UnitedStates
0014fa29afed18b4c3533df6d3fe3893,199999,1978,7.8,"was-jobless, now-jobless",88,88,83,87,1,"fam-friend, religious","dry-cough, short-breath, muscle-ache, fatigue, headache",three-in-ten,immediate,some-college,white,female,3.6,8.7,9.2,mormon,9.7,6.1,913,2020-06-10T05:08:20Z,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,California_UnitedStates
00230c4625bf3a2d91fec260b03295a4,20000,2001,2.8,"was-full, now-jobless",43,47,51,62,0,fam-friend,none,three-in-ten,immediate,school,black,female,0,0,5,something-else,3,5.1,326,2020-06-11T19:59:03Z,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Florida_UnitedStates
003304aab00f9984ce56b2a7cdf9ebb7,,1983,5.1,"was-full, now-full",48,98,45,100,0,local-community,none,almost-all,1-mo,some-college,other-mixed,female,0,4.7,5.6,atheist,0,4.6,945,2020-05-29T02:28:12Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,California_UnitedStates
0034443f787fa7208f90d6e88fb8f003,60000,1977,7.8,now-full,100,100,100,100,0,fam-friend,none,almost-all,6-mo,some-college,hispanic-latino,male,0,5,5,nothing-in-particular,6.5,0,111,2020-04-29T19:25:30Z,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NewYork_UnitedStates
0034adb32e5a6e138101a8b2b30548e2,50000,1989,10,now-full,100,100,100,100,1,employer,headache,three-percent,6-mo,postgrad,white,male,10,4.9,0,something-else,10,0,100,2020-06-11T19:16:53Z,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NewYork_UnitedStates
00372a236dc4f9bd4cdf88272d699e91,58,1997,6.1,now-part,,38,34,64,0,local-gov,sore-throat,three-percent,1-mo,highschool,white,male,3.8,5,3.8,mormon,4.3,6.2,900,2020-04-29T16:28:03Z,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,California_UnitedStates
003e154ae15ee3b01b61b712fbc294d5,9000,1999,7.9,was-part,100,100,92,100,0,"fam-friend, state-gov",none,three-percent,4-mo,some-college,white,female,0,0.9,0,something-else,10,0,952,2020-06-10T03:06:23Z,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,California_UnitedStates
0047b02af890c7bea12f385ecd422489,,1999,5.7,now-full,100,100,100,100,0,fam-friend,nasal,thirty-percent,5-mo,some-college,hispanic-latino,male,0.8,4.8,5.5,atheist,0,4.1,330,2020-05-25T19:24:17Z,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Florida_UnitedStates
00490c3063165d7eae8955e97dbf7a87,122356556,1998,6.9,was-retired,100,100,100,100,0,fam-friend,nasal,three-in-ten,immediate,postgrad,black,female,0.1,9.7,0.2,evangelical-protestant,10,0.1,123,2020-05-25T17:22:36Z,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NewYork_UnitedStates
0049d3e3396bbbc6f97940e450eb9a21,56000,1985,7,now-full,94,82,70,72,0,employer,none,one-in-30k,3-wk,highschool,white,male,8.8,6.6,7.1,catholic,6.9,7.5,5,2020-06-10T01:56:51Z,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NewYork_UnitedStates
004bd2ff6d7772d109da06d3c5bbe0ae,150000,1990,10,now-part,,57,99,87,0,"state-gov, religious, local-community",none,three-in-ten,2-mo,some-college,other-mixed,female,0,4.8,0,catholic,9.2,0,303,2020-04-29T17:12:29Z,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Georgia_UnitedStates
00624bb2331682d23a264e07f4e28d1b,,1999,5.3,was-jobless,53,53,53,53,0,fam-friend,dry-cough,one-in-30k,1-wk,some-college,white,male,5.6,5.3,5.6,nothing-in-particular,5.2,5.3,130,2020-06-12T00:20:05Z,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NewYork_UnitedStates
006e67ade779bbb019ac363ea00dcde1,100,1982,8.5,now-part,90,90,94,90,2,fedgov,"fever, headache",almost-all,2-wk,postgrad,white,male,1.5,8.7,8.9,catholic,9,9.4,331,2020-05-28T21:40:37Z,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Florida_UnitedStates
006eeeb38b2251f46ba718a4ccfbbba6,,2002,6.7,now-jobless,,100,100,100,0,fam-friend,none,almost-all,1-mo,school,hispanic-latino,male,0,5.1,4.7,catholic,10,4.9,906,2020-04-29T18:55:09Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,California_UnitedStates
